requirement,configuration
HSRP device must use destination MAC address to determine gateway IP address of the host.,HSRP Support for MPLS VPNs.
An Ethernet LAN connected between two provider edge (PE) devices with either a customer edge (CE) device having a default route to the HSRP virtual IP address or one or more hosts with the HSRP virtual IP address configured as the default gateway.,"A VPN associated with one or more VPN routing and forwarding (VRF) instances, which consist of an IP routing table, Cisco Express Forwarding table, set of interfaces using the Cisco Express Forwarding forwarding table, and a set of rules and routing protocol parameters to control the information in the routing tables."
Configuring HSRP (Hot Standby Router Protocol),HSRP Support for MPLS VPNs in Cisco IOS XE Fuji 16.11.x
Enhance the High Availability Configuration Guide with an Upgrade Process document focusing on SSO HSRP and its behavior in devices with redundant Route Processors (RPs).,"1. Enable SSO functionality by default when the redundancy mode of operation is set to SSO.
2. Ensure that the HSRP SSO information is synchronized to the standby RP for continuous forwarding of traffic during a switchover without data loss or path change.
3. Configure devices with dual RPs to support SSO functions and provide RP redundancy by establishing one RP as active and the other as standby."
"SSO HSRP is required to preserve the forwarding path for traffic destined to the HSRP virtual IP address through an RP switchover. Configuring SSO on the edge device enables the traffic on the Ethernet links to continue during an RP failover without the Ethernet traffic switching over to an HSRP standby device (and then back, if preemption is enabled).","Not applicable, as this text only provides a description of the requirement and its purpose."
Create and maintain BFD neighbor sessions between two systems.,Configure BFD on both systems or BFD peers and enable BFD on interfaces and at the device level for HSRP.
Simple network with two devices running HSRP and BFD,"First Hop Redundancy Protocols Configuration Guide, Cisco IOS XE Fuji 16.11.x"
HSRP BFD Peering,"Simple Network Management Protocol (SNMP) Get operations, Enabling HSRP MIB trap support through CLI"
Configuring HSRP (First Hop Redundancy Protocols),"Requirement: Configuring HSRP (First Hop Redundancy Protocols)
Configuration:
Step 5
• If you do not configure a group number, the default group number is 0. The group number range is from Device(config-if)# standby 1 ip 172.16.6.100 for HSRP version 1 and from 0 to 4095 for HSRP version 2."
Configuring the virtual IP address for at least one device in the group for HSRP (Hot Standby Router Protocol) election.,Device(config-if)# ip address <virtual_IP_address>
Configure HSRP Priority and Preemption on a device,"1. enable
2. configure terminal
3. interface type number
4. ip address ip-address mask
5. standby [group-number] priority priority
6. standby [group-number] preempt [delay {minimum | reload | sync} seconds]"
Configure HSRP preemption and preemption delay,standby [group-number] preempt [delay {minimum | reload | sync} seconds]
Configure HSRP Object Tracking on a device's GigabitEthernet interface to change the HSRP priority based on the state of a tracked object.,"1. enable
2. configure terminal
3. track object-number interface type number {line-protocol | ip routing}
4. exit
5. interface type number
6. standby [group-number] track object-number [decrement priority-decrement] [shutdown]
7. standby [group-number] ip [ip-address [secondary]]
8. end"
Tracking configuration for an interface using an object number,track object-number interface type number {line-protocol | ip routing}
Changing the configuration of an already tracked object by an HSRP group to use the HSRP Group Shutdown feature.,"Remove tracking configuration using the no standby track command, reconfigure it using the standby track command with the shutdown keyword."
Configuring HSRP MD5 Authentication Using a Key String,Device(config-if)# standby 1 authentication md5 key-string
HSRP (Hot Standby Router Protocol) configuration for device redundancy.,Device(config-if)# standby [group-number] ip [ip-address] [secondary]; Device(config-if)# standby 1 authentication md5 key-string d00b4r987654321a timeout 30
Configure HSRP MD5 authentication using a key chain for First Hop Redundancy Protocols in Cisco IOS XE Fuji 16.11.x,"1. enable
2. configure terminal
3. key chain name-of-chain
4. key key-id
5. key-string string
6. exit
7. exit
8. interface type number
9. ip address ip-address mask [secondary]"
Authentication string for a key,key-string mno172 (1 to 80 uppercase or lowercase alphanumeric characters; first character cannot be a numeral)
Configuring an interface type and entering the interface configuration mode.,interface GigabitEthernet 0/0/0
Configure HSRP (Hot Standby Router Protocol) with MD5 authentication using a key chain.,Device(config-if)# standby 1 ip 10.21.8.12 [other steps as mentioned in the text]
Troubleshooting HSRP MD5 Authentication,"1. Enable privileged EXEC mode using the 'enable' command.
2. Use the 'debug standby errors' command to display error messages related to HSRP authentication."
Configuring HSRP Text Authentication and Troubleshooting HSRP MD5 Authentication,"enable, configure terminal, First Hop Redundancy Protocols Configuration Guide, Cisco IOS XE Fuji 16.11.x"
Configure HSRP text authentication.,standby [group-number] authentication text string
Configure HSRP on a network device.,"1. Enable: Device# enable
2. Enter configuration mode: Device# configure terminal
3. Define interface type and number: Device(config)# interface type number
4. Set IP address: Device(config-if)# ip address ip-address mask [secondary]
5. Activate HSRP and set timers: Device(config-if)# standby group-number timers msec hellotime msec"
Configuring an HSRP MAC Refresh Interval,- Standby mac-refresh seconds (value in seconds)
"- First Hop Redundancy Protocols Configuration Guide, Cisco IOS XE Fuji 16.11.x","1. enable
2. configure terminal
3. interface type number"
Configure the primary and secondary IP addresses for an interface using HSRP (Hot Standby Routing Protocol) with different group numbers on multiple devices.,"1. Enter privileged EXEC mode by typing ""enable"" and enter your password if prompted.
2. Enter global configuration mode by typing ""configure terminal"".
3. Configure an interface type and enter interface configuration mode by typing ""interface type number"".
4. Specify a primary or secondary IP address for the interface using ""ip address ip-address mask [secondary]"".
5. Configure HSRP priority for different group numbers by typing ""standby [group-number] priority priority"".
6. Configure preemption and delay values for standby groups using ""standby [group-number] preempt [delay {minimum | reload | sync} delay]"".
7. Specify the secondary IP address for standby groups using ""standby [group-number] ip [ip-address] secondary"".
8. Repeat Steps 5 through 7 for different standby groups on the same device.
9. Exit configuration mode by typing ""exit"".
10. Repeat Steps 3 through 9 on another device."
"The requirement is to configure the interval for HSRP groups and ensure that client or subordinate groups are on the same physical interface as the master group. Additionally, the requirement is to make sure that client groups take their state from the group they are following and do not use timer, priority, or preemption settings.","The default interval for HSRP groups can be configured between 10 to 255 seconds. To configure the interval, use the command ""standby [interface-id] [interval-time]""."
"Configure HSRP settings, including IP address and mask, MAC refresh interval, and client group configuration.","1. ip address ip-address mask [secondary] - Configures a primary or secondary IP address for an interface. Example: Device(config-if)# ip address 10.0.0.1 255.255.255.0
2. standby mac-refresh seconds - Configures the HSRP client group refresh interval. Example: Device(config-if)# standby mac-refresh 30
3. standby group-number follow group-name - Configures an HSRP group as a client group. Example: Device(config)# standby 1 follow HSRP_Group_Name"
Enabling HSRP Support for ICMP Redirect Messages,"1. enable
2. configure terminal
3. interface type number
4. standby redirect [timers advertisement holddown] [unknown]
5. end
6. show standby redirect [ip-address] [interface-type interface-number] [active] [passive] [timers]"
Enable HSRP filtering of ICMP redirect messages on all interfaces configured for HSRP.,"Use the ""standby redirect"" command in global configuration mode to enable HSRP filtering of ICMP redirect messages on all interfaces configured for HSRP."
Configuring HSRP Virtual MAC Addresses or BIA MAC Addresses,"1. enable
2. configure terminal
3. interface type number
4. ip address ip-address mask [secondary]
5. Enter one of the following commands:
• standby [group-number] mac-address mac-address
• or
• standby use-bia [scope interface]
• or
6. standby [group-number] ip [ip-address [secondary]]"
Configure an IP address and a virtual MAC address for an interface using HSRP (Hot Standby Router Protocol).,"1. Configure an IP address for an interface:
```
Device(config-if)# ip address ip-address mask [secondary]
Example: Device(config-if)# ip address 172.16.6.5 255.255.255.0
```
2. Configure a virtual MAC address for HSRP:
```
Device(config-if)# standby [group-number] mac-address mac-address
Example: Device(config-if)# standby 1 mac-address 5000.1000.1060
```
or
```
Device(config-if)# standby use-bia [scope interface]
```
3. Configure HSRP to use the burned-in address of the interface as its virtual MAC address:
```
Device(config-if)# standby use-bia
```
4. Activate HSRP and configure an IP address for the HSRP group:
```
Step 6
Device(config-if)# standby [group-number] ip [ip-address [secondary]]
Example: Device(config-if)# standby 1 ip 172.16.6.100
```"
Configure HSRP settings on a device.,"standby 1 name HSRP-1, standby 1 ip 10.0.0.11, and HSRP version 2."
Configuring HSRP version 2 on a device with different packet formats and ensuring mutual exclusivity between versions.,"Enable, configure terminal, and follow the steps in the SUMMARY STEPS section for Changing to HSRP Version 2."
HSRP (Hot Standby Router Protocol) configuration,standby 400 ip 10.10.28.5
"Enabling SSO-aware HSRP on interfaces configured for HSRP, and automatically resetting the standby RP.","First Hop Redundancy Protocols Configuration Guide, Cisco IOS XE Fuji 16.11.x (Step 4)"
"First Hop Redundancy Protocols Configuration for Cisco IOS XE Fuji 16.11.x, including HSRP and SSO Aware HSRP verification.","Hold time is set to 3 seconds. Authentication text is set as ""authword"". Preemption is enabled."
"Enabling the device to send SNMP traps, informs, and HSRP notifications.",snmp-server enable traps hsrp
Enable BFD on the interface,Device(config-if)# bfd interval <milliseconds> min_rx <milliseconds> multiplier <interval-multiplier> Example: Device(config-if)# bfd interval 50 min_rx 50 multiplier 5
Exit global configuration mode,exit
First Hop Redundancy Protocols Configuration for HSRP in Cisco IOS XE Fuji 16.11.x,"Active router is local, Standby router is 10.0.0.2 with priority 90 (expires in 8.268 sec), BFD enabled, Priority 110 (configured 110), Group name ""hsrp-Fa2/0-1"""
HSRP configuration with priority and preemption for devices A and B.,"- Device A: Interface GigabitEthernet 0/0/0, Priority 110, Preempt enabled.
- Device B: Interface GigabitEthernet 0/0/0, Active device for group 2, Standby device for group 1."
Configuring HSRP with tracking and priority settings for redundancy and load balancing.,"1. Set standby group and priority on interface GigabitEthernet 0/0/0 of Device A:
   - standby 1 priority 105
   - standby 1 ip 10.1.0.1
2. Set standby group and preempt settings on interface GigabitEthernet 0/0/0 of Device B:
   - standby 2 preempt
   - standby 2 priority 95
   - standby 2 ip 10.1.0.2
3. Configure HSRP Object Tracking on interface GigabitEthernet 0/0/0 of Device A to track the IP-routing capability of serial interface 1/0:
   - track 1 interface Serial 1/0 state
4. Set the standby group and priority for redundancy on both devices based on the tracking process, in case one of the serial interfaces goes down."
"The requirement is to configure the HSRP (Hot Standby Router Protocol) on two devices, Device A and Device B. Both devices should have operational Gigabit Ethernet interfaces for Device A to be the active device due to its higher priority. If IP routing on Device A's interface fails, Device B will become the active device.","Device A Configuration:
- track 100 interface GigabitEthernet 0/0/0 ip routing
- standby 1 ip 10.1.0.1
- standby 1 preempt
- standby 1 priority 110
- standby 1 track 100 shutdown

Device B Configuration:
- track 100 interface GigabitEthernet 0/0/0 ip routing"
Configure Hot Standby Router Protocol (HSRP) on GigabitEthernet 0/0/1 interface with specific parameters.,"1. Set the IP address for the interface: ip address 10.1.0.22 255.255.0.0
2. Enable HSRP on the interface and set it as active router (standby 1 ip 10.1.0.1).
3. Make the HSRP group preemptive (standby 1 preempt).
4. Assign a priority value to the local router in the HSRP group (standby 1 priority 105).
5. Enable tracking of a specific condition on the interface and shutdown the HSRP group if that condition is met (standby 1 track 100 shutdown)."
Change the configuration of a tracked object to include the HSRP Group Shutdown feature.,no standby 1 track 100 decrement 10; standby 1 track 100 shutdown.
Configure HSRP MD5 Authentication using Key Strings and Key Chains.,"- Key chain: hsrp1
  - Key ID: 0 or any other valid ID
  - Key string: 54321098452103ab (example)
- Interface: GigabitEthernet 0/0/0
  - HSRP configuration:
    - Standby 1 priority: 110
    - Standby 1 preempt: enabled
    - Standby 1 authentication md5 key-chain: hsrp1
  - HSRP IP address: 10.21.0.10"
Configuring HSRP Text Authentication with MD5 key-string and IP address,"Device(config)# interface GigabitEthernet 0/0/0
Device(config-if)# standby 1 priority 110
Device(config-if)# standby 1 preempt
Device(config-if)# standby 1 authentication md5 key-string 54321098452103ab
Device(config-if)# standby 1 ip 10.21.0.10"
HSRP load sharing and standby preempt configuration to ensure load balancing and automatic failover between two routers.,"Router A as the active router for group 1 with a priority of 110, Router B as the active router for group 2 with a priority of 110, virtual IP addresses of 10.0.0.3 and 10.0.0.4 for Group 1 and Group 2 respectively."
HSRP (Hot Standby Router Protocol) Configuration,"1. Set the hostname for each router (RouterA and RouterB).
2. Configure the IP address, priority, and standby group number for the primary interface on both routers.
3. Enable preemption and configure the standby IP address for the primary interfaces on both routers.
4. Configure the priority, preemption, and standby group number for the secondary interface on both routers.
5. Set up the standby IP address for the secondary interface on both routers."
Optimize CPU and network performance by implementing Hot Standby Routing Protocol (HSRP) with multiple group optimization.,N/A (not provided in the text)
Configure HSRP support for ICMP redirect messages on a network device.,"1. Set the standby group and follow the HSRP instance on an interface:
   Device(config-if)# standby 2 follow HSRP1

2. Configure IP address, HSRP settings, and standby parameters for both devices:
   - Device A Configuration—Active for Group 1 and Standby for Group 2:
     a. Interface configuration:
       Device(config)# interface GigabitEthernet 0/0/0
       b. IP address:
         Device(config-if)# ip address 10.0.0.10 255.0.0.0
       c. HSRP settings and parameters:
         Device(config-if)# standby redirect
         Device(config-if)# standby 1 priority 120
         Device(config-if)# standby 1 preempt delay minimum 20
         Device(config-if)# standby 1 ip 10.0.0.1
         Device(config-if)# standby 2 priority 105
         Device(config-if)# standby 2 preempt delay minimum 20
         Device(config-if)# standby 2 ip 10.0.0.2"
Linking IP Redundancy Clients to HSRP Groups and supporting static Network Address Translation (NAT) configuration.,"- Two devices acting as HSRP active and standby
- NAT inside interfaces are HSRP enabled and configured to belong to the group named ""group1""
- Standby settings:
  - Device IP: 192.168.5.30
  - Priority: 110
  - Preempt: Enabled
  - Name: group1
  - Tracking: Ethernet 2/1
- Active device configuration:
  - Interface: BVI 10
    - IP address: 192.168.5.54 with subnet mask 255.255.255.255.0
    - No ip redirects
    - ip nat inside
- NAT Redundancy configuration:
  - Source static translation for IP address 192.168.5.33 to 10.10.10.5, with group ""group1"""
Configure HSRP version 2 on an interface with a group number of 350.,"1. Enter the interface configuration mode for vlan 350.
   ```
   Device(config)# interface vlan 350
   ```

2. Set the HSRP version to 2.
   ```
   Device(config-if)# standby version 2
   ```

3. Configure the priority for the group.
   ```
   Device(config-if)# standby 350 priority 110
   ```

4. Enable preempt mode for the group.
   ```
   Device(config-if)# standby 350 preempt
   ```

5. Set timers for the group.
   ```
   Device(config-if)# standby 350 timers 5 15
   ```

6. Set the IP address for the group.
   ```
   Device(config-if)# standby 350 ip 172.20.100.10
   ```"
Enable SSO-Aware HSRP on devices,"1. Configure redundancy mode to SSO using the following commands:
Device(config)# redundancy
Device(config-red)# mode sso
2. Set up an interface with IP address and standby priority using the following commands (as shown in the example):
Device(config)# interface GigabitEthernet 1/0/0
Device(config-if)# ip address 10.1.1.1 255.255.0.0
Device(config-if)# standby priority 200
3. Enable preemption and configure the device as the active (primary) device with the following command:
Device(config-if)# standby preempt
Device(config-if)# standby sso"
Backup device configuration using HSRP for redundancy.,"- Device A:
    - Interface GigabitEthernet 0/0/0 with IP address 10.1.1.1 and subnet mask 255.255.0.0, standby priority 200, standby preempt, and standby IP 10.1.1.3
    - SNMP server enabled for traps and HSRP with host yourhost.cisco.com
- Device B:
    - Interface GigabitEthernet 1/0/0 with IP address 10.1.1.2 and subnet mask 255.255.0.0, standby priority 101, standby IP 10.1.1.3
    - SNMP server enabled for traps and HSRP with host myhost.cisco.com"
BFD session for early failover notification in HSRP groups.,"bfd interval command, standby bfd and standby bfd all-interfaces commands (if BFD has been manually disabled)."
Hot Standby Router Protocol (HSRP) configuration for redundancy on a FastEthernet interface,"- Interface: FastEthernet2/0
- IP address: 10.1.0.22 with subnet mask 255.255.0.0
- Standby protocol enabled with group number 1, preemption enabled, and priority set to 90
- Secondary standby configuration with group number 2, IP address 10.0.0.12, preemption enabled, and priority set to 80"
Centralized control unit in a chassis for route processing redundancy (RPR+) and High System Availability (HSA).,Not provided.
Improved millisecond timer values and expanded group number range in HSRP version 2 for increased stability and flexibility.,"Advertising and learning millisecond timer values, expanding the group number range from 0 to 4095, and including a 6-byte identifier field in packet format for uniquely identifying the sender of the message (typically using the interface MAC address)."
"The requirement is to configure and use HSRP (Hot Standby Router Protocol) for high availability in a network. The specific configuration should be between HSRP version 1 and version 2, depending on the desired functionality of Cisco Group Management Protocol (CGMP) and the multicast address used for hello packets.","The configuration will vary based on the chosen HSRP version. For HSRP version 1:
- Multicast address: 224.0.0.2
- Default version of HSRP

For HSRP version 2:
- Multicast address: 224.0.0.102
- Enables CGMP leave processing at the same time as HSRP
- Expanded group number range: 0 to 4095
- New MAC address range: 0000.0C9F.F000 to 0000.0C9F.FFFF
- Virtual MAC address changes when the HSRP version is changed"
Using Jitter timers in HSRP to improve reliability and reduce CPU and network traffic spikes.,"Not specified in the text, but it mentions that a given timer instance may take up to 20% more than the configured value."
"Enable HSRP on an interface with a specified IP address and version, configure the standby group number, and display information about the standby configuration.","1. enable
2. configure terminal
3. interface type number (e.g., vlan 400)
4. ip address ip-address mask (e.g., 10.10.28.1 255.255.255.0)
5. standby version {1 | 2} (e.g., standby version 2)
6. standby [group-number] ip [ip-address [secondary]] (e.g., standby 100 ip 10.10.28.1)"
HSRP version configuration,standby 400 ip 10.10.28.5
Configure HSRP version 2 on an interface with a group number of 350.,Device(config)# interface vlan 350; Device(config-if)# standby version 2; Device(config-if)# standby 350 priority 110 ; Device(config-if)# standby 350 preempt ; Device(config-if)# standby 350 timers 5 15; Device(config-if)# standby 350 ip 172.20.100.10
HSRP Text Authentication to protect against false HSRP hello packets causing a denial-of-service attack.,"HSRP ignores unauthenticated HSRP protocol messages, and the default authentication type is text authentication."
Implement HSRP MD5 Authentication for added security and protection against HSRP-spoofing software.,Each HSRP group member must use a secret key to generate a keyed MD5 hash that is part of the outgoing packet. The key can be given directly in the configuration using a key string or supplied indirectly through a key chain.
Configure HSRP with MD5 authentication to protect against false hello packets causing denial-of-service attacks.,Use HSRP MD5 authentication with a key chain to allow different key strings to be used at different times based on the key chain configuration.
The requirement is to configure the HSRP (Hot Standby Router Protocol) with MD5 authentication using a key chain.,"To configure the HSRP with MD5 authentication using a key chain, follow these steps:
1. Enter the key-chain configuration mode: Device(config-keychain)# key 100
2. Specify the authentication string for the key: Device(config-keychain-key)# key-string mno172 (an example, use an appropriate alphanumeric string)
3. Return to the key-chain configuration mode: Device(config-keychain)# exit
4. Configure HSRP with MD5 authentication: Device(config)# ip hsrp <hsrp-group-number> <authentication-string> priority <priority-value> hold-time <hold-time-value> [standby <interface>] [track <interface> down]
5. Return to global configuration mode: Device(config-line)# exit
6. Exit the device configuration mode: Device# exit"
"Configure an interface type and enter interface configuration mode, specify a primary or secondary IP address for an interface, configure HSRP priority, configure HSRP preemption, configure authentication MD5 key chain for HSRP.","1. Example: Step 8 - Device(config)# interface GigabitEthernet 0/0/0
2. Example: Step 9 - Device(config-if)# ip address 10.21.8.32 255.255.255.0
3. Example: Step 10 - Device(config-if)# standby 1 priority 110
4. Example: Step 11 - Device(config-if)# standby 1 preempt minimum|reload|sync seconds
5. Example: Step 12 - Device(config-if)# standby 1 authentication md5 key-chain key-chain-name
6. Example: Step 13 - Device(config-if)# standby group-number ip ip-address"
Configuring HSRP Text Authentication,"1. enable
2. configure terminal"
Activate HSRP and configure MD5 authentication on the device interface.,"Device(config-if)# standby [group-number] ip [ip-address [secondary]], Device(config-if)# standby [group-number] authentication md5 key-string [key], Device(config-if)# standby [group-number] timeout [timeout-value]."
Configure HSRP (Hot Standby Router Protocol) with MD5 authentication using a key chain.,"1. Create a key chain using the 'key chain' command:
   Device(config)# key chain hsrp1
2. Define a key within the key chain using the 'key' command:
   Device(config-keychain)# key 1
3. Set the key string for the defined key using the 'key-string' command:
   Device(config-keychain-key)# key-string 54321098452103ab
4. Exit the key configuration mode using the 'exit' command:
   Device(config-keychain-key)# exit
5. Configure an interface with the 'interface' command:
   Device(config)# interface GigabitEthernet 0/0/0
6. Enable HSRP on the interface using the 'standby' command and set the priority, preempt option, and authentication:
   Device(config-if)# standby 1 priority 110
   Device(config-if)# standby 1 preempt
   Device(config-if)# standby 1 authentication md5 key-chain hsrp1
7. Specify the HSRP virtual IP address using the 'ip' command:
   Device(config-if)# standby 1 ip 10.21.0.10"
HSRP Support for ICMP Redirects,Configure HSRP Support for ICMP Redirects (on page 114) and Configuration Examples for HSRP Support for ICMP Redirects (on page 115)
ICMP Redirects to Active HSRP Devices,"The next-hop IP address is compared to the list of active HSRP devices on that network; if a match is found, then the real next-hop IP address is replaced with a corresponding virtual IP address and the redirect message is allowed to continue. If no match is found, then the ICMP redirect message is sent only if the device corresponding to the new next hop IP address is not running HSRP. Redirects to passive HSRP devices are not allowed (a passive HSRP device is a device running HSRP, but which contains no active HSRP groups on the interface). For optimal operation, every device in a network that is running HSRP should contain at least one active HSRP group on an interface to that network. Every HSRP device need not be a member of the same group. Each HSRP device will snoop on all HSRP packets on the network to maintain a list of active devices (virtual IP addresses versus real IP addresses)."
Modify the ICMP redirect message to use HSRP group 1 virtual IP and HSRP group 3 virtual IP for source IP and gateway respectively.,"- Destination MAC: Host MAC
- Source MAC: router R1 MAC
- Destination IP: Host IP
- Source IP*: HSRP group 1 virtual IP
- Gateway to use*: HSRP group 3 virtual IP"
"The requirement seems to be about configuring a network that does not allow ICMP redirects to passive HSRP devices, ensuring redundancy and optimal operation of HSRP ICMP redirection.",The configuration should have at least one active HSRP group on every device running HSRP in the network. This will help avoid misconfigurations and ensure that ICMP redirects operate optimally.
Allowing HSRP on local interfaces and permitting hosts to learn the real IP address of non-HSRP devices.,"Passive HSRP Advertisement Messages, allowing redirection to device R7 as it is not running HSRP, with no standby redirect unknown command to stop these redirects."
HSRP Support for ICMP Redirects and ICMP Redirects to Passive HSRP Devices,Not provided in the text
HSRP configuration and advertisement interval adjustment,standby redirect timers command for adjusting the advertisement interval and hold-down time.
Enables privileged EXEC mode.,Device> enable
Configuring HSRP Support for ICMP Redirects,"Device A Configuration—Active for Group 1 and Standby for Group 2
Device(config)# interface GigabitEthernet 0/0/0
Device(config-if)# ip address 10.0.0.10 255.0.0.0
Device(config-if)# standby redirect
Device(config-if)# standby 1 priority 120 
Device(config-if)# standby 1 preempt delay minimum 20"
Implement Hot Standby Router Protocol (HSRP) with the following settings for Device B.,"Requirement: Implement Hot Standby Router Protocol (HSRP) with the following settings for Device B.
- Standby Group 1: Active device with priority 105, preempt delay minimum 20, and IP address 10.0.0.1.
- Standby Group 2: Active device with priority 120, preempt delay minimum 20, and IP address 10.0.0.2.

Configuration:
```
Device B Configuration—Standby for Group 1 and Active for Group 2
Device(config)# interface GigabitEthernet 0/0/0
Device(config-if)# ip address 10.0.0.11 255.0.0.0
Device(config-if)# standby redirect
```"
Configure multiple HSRP groups for load balancing and redundancy in networks.,"- Device A active for group 1, standby for group 2
- Device B standby for group 1, active for group 2
- Fifty percent of the hosts on the LAN with virtual IP address of group 1
- Remaining hosts with virtual IP address of group 2"
Configure HSRP (Hot Standby Router Protocol) on an interface,"1. Enter interface configuration mode using `interface GigabitEthernet <interface-number>`.
2. Configure the primary or secondary IP address for the interface using `ip address <ip-address> <mask> [secondary]`.
3. Set up HSRP priority with `standby <group-number> priority <priority>` command.
4. Optionally configure HSRP preemption with `standby <group-number> preempt [delay {minimum | reload | sync} delay]`.
5. Activate HSRP using `standby <group-number> ip [ip-address] secondary`.
6. Repeat Steps 1 through 5 for different standby groups as needed."
Configure multiple HSRP groups with different priority and preemption values to enable load balancing on devices.,"HSRP group priority, preemption values, and enabling load balancing on devices."
"HSRP client groups should follow the primary HSRP with a slight, random delay so that all client groups do not change at the same time. Client or subordinate groups must be on the same physical interface as the primary group. A client group takes its state from the group it is following and does not use its timer, priority, or preemption settings.",The standby mac-refresh seconds command can be used to change the HSRP client group refresh interval. The default interval is 10 seconds and can be configured up to 255 seconds.
"Configure an interface type and enter interface configuration mode. Specify a primary or secondary IP address for an interface, configure the HSRP client group refresh interval, and configure multiple HSRP client groups.","1. Step 3: Device(config)# interface GigabitEthernet 0/0/0
2. Step 4: Device(config-if)# ip address 10.0.0.1 255.255.255.0
3. Step 5: Device(config-if)# standby mac-refresh 30
4. Step 6: Device(config-if)# standby 1 follow HSRP1
5. Repeat Steps 3 through 6 to configure additional HSRP client groups."
Configure load sharing between Router A and Router B using Hot Standby groups in a First Hop Redundancy Protocol (HSRP) environment.,"1. Configure Half of the clients for Router A and Half for Router B.
2. Establish two Hot Standby groups (Group 1 and Group 2).
3. Set Router A as the default active router with highest priority in Group 1, with Router B as the standby router.
4. Set Router B as the default active router with highest priority in Group 2, with Router A as the standby router.
5. Enable load sharing during normal operation between Routers A and B for IP traffic.
6. Configure standby preempt interface to restore load sharing when a router goes down and comes back up."
"HSRP Load Sharing Configuration with two groups (group 1 and group 2), each having a virtual IP address (Group 1: 10.0.0.3, Group 2: 10.0.0.4).","- Router A is configured as the active router for group 1 with a priority of 110.
- Router B is configured as the active router for group 2 with a priority of 110.
- The default priority level is 100.
- Interface configuration includes setting the IP addresses, enabling HSRP on the interface, and specifying the virtual IP addresses for each group."
"First Hop Redundancy Protocols Configuration, specifically HSRP (Hot Standby Router Protocol) with multiple group optimization for load balancing.",standby <group_number> preempt; standby <group_number> ip <virtual_IP>;
Configuring Hot Standby Router Protocol (HSRP) for IPv4 and IPv6,"1. Enable the interface with ""no shutdown"" command.
2. Set the VRF forwarding using ""ip vrf forwarding VRF4"" command.
3. Configure the IP address with ""ip address 10.0.0.100 255.255.0.0"" command.
4. Set up HSRP for the interface with ""standby 2 ip 10.0.0.254"" command.
5. Follow an existing HSRP group with ""standby 2 follow HSRP1"" command."
"Object tracking for line protocol state or reachability of an IP route, and notifying client processes when tracked objects change state.",HSRP Group Shutdown with standby track command and shutdown keyword.
- Configuring priority decrements for tracked objects.,"- Cumulative priority decrements for multiple tracked objects with configured priority decrements.
- Default decrement is 10 if none of the tracked objects were configured with priority decrements.
- Removing tracking configuration using the no standby track command, then reconfiguring it using the standby track command with the shutdown keyword."
Activating HSRP and setting the group number for an interface,standby [group-number] ip [ip-address [secondary]]
Prevent any HSRP state change and ensure the active device's key string is changed no later than one hold-time period after nonactive devices.,1. Configure the standby timers interface command to specify the hold-time period.
Configuring HSRP MD5 Authentication Using a Key String,"Device(config-if)# standby 1 authentication md5
key-string d00b4r987654321a timeout 30"
"The requirement is to configure and activate HSRP (Hot Standby Router Protocol) on a group of routers. This allows for redundancy and load balancing among the routers in the group, ensuring continuous connectivity and optimal performance.","To configure and activate HSRP, follow these steps:
1. Enter global configuration mode on each router.
2. Use the ""standby"" command to define the HSRP group, IP address, and set it as secondary (optional). Example: ""Device(config)# standby 1 ip 10.0.0.3 secondary"".
3. Repeat Steps 1-2 on each device in the group that will communicate.
4. Enter back to privileged EXEC mode using the ""end"" command (optional). Example: ""Device(config)# end"".
5. To verify your configuration, use the ""show standby"" command."
"If the IP state on serial interface 1/0 goes down, the priority of the HSRP group is reduced by 10.","track 100 interface serial 1/0/0 ip routing, standby 1 preempt, standby 1 priority 110, standby 1 track 100 decrement 10"
"Configure HSRP on Device B to track the IP-routing capability of Gigabit Ethernet interface 0/0/0. The tracking process should be informed of any changes to the IP-routing state of Gigabit Ethernet interface 0/0/0, and if the IP state goes down, the HSRP group should be disabled.","1. Set up tracking on Device B for the IP routing capability of Gigabit Ethernet interface 0/0/0:
Device(config)# track 100 interface serial 1/0/0 ip routing
2. Configure HSRP on GigabitEthernet 0/0/0 with preempt and priority:
Device(config-if)# standby 1 preempt
Device(config-if)# standby 1 priority 105
3. Set up tracking on the GigabitEthernet 0/0/0 interface to decrement by 10 when the tracking process is triggered:
Device(config-if)# standby 1 track 100 decrement 10
4. Assign the IP address and subnet mask for the GigabitEthernet 0/0/0 interface:
Device(config-if)# ip address 10.1.0.22 255.255.0.0
5. Configure the standby IP address to be 10.1.0.1 for HSRP group 1 on GigabitEthernet 0/0/0:
Device(config-if)# standby 1 ip 10.1.0.1"
Maintaining a default virtual gateway service for hosts on the 10.1.0.0 subnet in case of HSRP group failure.,"Device A:
- track 100 interface GigabitEthernet 0/0/0 ip routing
- standby 1 ip 10.1.0.1
- standby 1 preempt
- standby 1 priority 110
- standby 1 track 100 shutdown

Device B:
- track 100 interface GigabitEthernet 0/0/0 ip routing
- interface GigabitEthernet 0/0/1
- ip address 10.1.0.22 255.255.0.0
- standby 1 ip 10.1.0.1
- standby 1 preempt
- standby 1 priority 105
- standby 1 track 100 shutdown"
Configure the HSRP Group Shutdown feature on a tracked object.,"Remove the tracking configuration using the 'no standby track' command, then reconfigure it using the 'standby track' command with the 'shutdown' keyword."
